name,age,nationality,club,position,height,weight,foot,total_matches,total_goals,total_minutes,total_assists,total_goals_conceded,total_cs,total_yellow,total_red,minutes_per_goal,shot_accuracy,pass_completion_rate,cross_completion_rate,minutes_per_assist,dribble_success_rate,tackles,interception,market_value,titles,injuries
Giovanni Simeone,29,Argentina,Napoli,Forward - Centre Forward,180,81,,350,97,21017,22,,,32,1,204,20.0,76.6,0.0,,0.0,0,1,10.0,5,2
Giuliano Simeone,21,Argentina,Atlético Madrid,Forward,,,Right,71,12,4408,7,,,8,1,333,,,,167,,,,3.0,,0
Gonzalo Montiel,27,Argentina,Sevilla FC,Defender - Right Back,175,69,Right,253,8,17948,,163,99,60,2,,,75.0,,,0.0,0,0,8.0,12,15
Guido Rodriguez,30,Argentina,West Ham United,Midfielder - Defensive Midfield,185,78,Right,392,28,31718,7,,,113,9,,20.0,83.77,0.0,,100.0,25,10,20.0,12,14
Joaquin Correa,30,Argentina,Inter Milan,Midfielder - Secondary Striker,189,75,,332,60,17404,27,,,43,4,,100.0,76.92,,,0.0,1,0,3.0,5,6
Jose Luis Palomino,34,Argentina,Cagliari,Defender - Centre Back,190,78,Left,329,15,24618,,334,91,57,3,47,100.0,85.0,,,0.0,5,6,0.7,1,5
Juan Musso,30,Argentina,Atlético Madrid,Goalkeeper - Goalkeeper,191,93,Right,242,0,21566,,285,70,15,1,,,44.83,,,0.0,0,0,5.0,2,1
Julian Alvarez,24,Argentina,Atlético Madrid,Forward - Centre Forward,170,68,Right,278,105,17135,49,,,13,0,199,52.94,78.54,37.5,794,43.75,3,0,75.0,9,0
Julian Antonio Chicco,26,Argentina,Leganés,Midfielder - Defensive Midfield,181,79,Right,128,4,7192,1,,,30,1,,,82.0,,,100.0,6,2,1.0,3,3
Lautaro Gianetti,31,Argentina,Udinese,Defender - Center Back,184,79,Right,213,5,18382,,180,83,55,4,58,100.0,81.16,,,0.0,13,9,2.5,2,4
Lautaro Martinez,27,Argentina,Inter Milan,Forward - Centre Forward,179,72,Right,399,182,26820,41,,,69,2,180,46.15,73.94,0.0,451,33.33,7,3,110.0,6,5
Leandro Chichizola,34,Argentina,Parma,Goalkeeper - Goalkeeper,185,80,Right,293,0,26155,,272,106,15,0,,,72.73,,,0.0,0,0,0.4,2,0
Leonardo Balerdi,25,Argentina,Olympique Marseille,Defender - Centre Back,187,85,,168,6,12462,,152,51,49,6,,0.0,94.08,,,85.71,12,8,20.0,2,24
Lucas Beltran,23,Argentina,Fiorentina,Forward,176,75,,108,26,5573,10,,,12,0,269,,,,179,,,,16.0,,0
Lucas Ocampos,30,Argentina,Monterrey,Forward - Left Wing,187,84,,478,86,30405,41,,,90,5,737,23.53,77.56,15.0,184,53.85,9,3,7.5,3,22
Luka Romero,20,Argentina,Deportivo Alavés,Midfielder - Right Wing,165,64,Left,65,7,2116,1,,,7,1,,0.0,77.78,20.0,,50.0,4,1,5.0,0,0
Marcos Senesi,27,Argentina,AFC Bournemouth,Defender - Centre Back,185,80,Left,268,15,21942,,290,80,59,1,,0.0,77.34,50.0,,71.43,28,10,22.0,1,10
Martin Payero,26,Argentina,Udinese,Midfielder - Central Midfield,182,73,,155,11,8523,13,,,31,4,,16.67,81.46,26.32,,53.85,8,5,4.5,2,5
Mateo Retegui,25,Argentina,Atalanta,Forward - Centre Forward,186,81,,214,68,13066,15,,,27,1,70,47.06,79.29,20.0,278,22.22,5,1,28.0,1,3
Nahuel Estevez,29,Argentina,Parma,Midfielder - Central Midfield,181,77,Right,256,15,18326,15,,,50,2,,50.0,75.76,0.0,,0.0,3,2,3.5,0,1
Nahuel Molina,26,Argentina,Atlético Madrid,Defender - Right Back,175,70,Right,265,20,20021,,218,84,27,3,,33.33,79.62,17.24,708,58.33,18,7,28.0,5,10
Nahuel Tenaglia,28,Argentina,Deportivo Alavés,Defender - Right Back,180,73,Right,218,14,17371,,197,82,51,1,55,40.0,63.56,12.0,1036,66.67,25,11,2.5,0,6
Nehuen Perez,24,Argentina,Porto,Defender - Centre Back,185,75,Right,177,8,14491,,189,49,53,3,,0.0,92.13,,,0.0,8,6,13.0,1,4
Nicolas Dominguez,26,Argentina,Nottingham Forest,Midfielder - Central Midfield,179,73,Right,239,17,15787,14,,,56,1,,42.86,85.21,100.0,,0.0,21,9,17.0,1,5
Nicolas Tagliafico,32,Argentina,Olympique Lyonnais,Defender - Left Back,172,65,Left,415,23,34176,,328,168,97,7,90,100.0,88.12,11.11,,0.0,17,11,8.0,11,24
Oscar Trejo,36,Argentina,Rayo Vallecano,Midfielder - Attacking Midfield,180,79,Right,544,67,37408,40,,,132,8,,0.0,83.13,50.0,,50.0,3,1,1.0,4,37
Paulo Dybala,31,Argentina,Roma,Forward - Secondary Striker,177,75,Left,492,175,32150,77,,,41,1,266,53.85,87.88,41.67,,42.86,7,1,12.0,15,9
Rodrigo De Paul,30,Argentina,Atlético Madrid,Midfielder - Central Midfield,180,70,Right,435,50,29758,60,,,78,6,,0.0,82.52,34.78,195,25.0,5,2,30.0,4,12
Santiago Thomas Castro,20,Argentina,Bologna,Forward,178,76,,97,14,4385,6,,,15,0,230,54.55,80.28,0.0,459,36.0,7,1,18.0,0,0
Tadeo Allende,25,Argentina,Celta de Vigo,Forward,185,77,,116,17,6067,5,,,8,0,,,,,,,,,3.0,0,0
Tomas Jose Conechny,26,Argentina,Deportivo Alavés,Forward - Striker,170,65,,154,18,8922,6,,,21,1,473,63.64,58.2,46.15,,0.0,3,3,4.5,1,0
Valentin Carboni,19,Argentina,Olympique Marseille,Midfielder,,,,72,7,3083,3,,,10,0,,50.0,88.33,100.0,,0.0,2,1,15.0,0,1
Henrikh Mkhitaryan,35,Armenia,Inter Milan,Midfielder - Attacking Midfield,177,75,Both,555,114,40706,102,,,65,1,957,28.57,87.5,11.11,,9.09,16,8,6.0,15,8
