name,age,nationality,club,position,height,weight,foot,total_matches,total_goals,total_minutes,total_assists,total_goals_conceded,total_cs,total_yellow,total_red,minutes_per_goal,shot_accuracy,pass_completion_rate,cross_completion_rate,minutes_per_assist,dribble_success_rate,tackles,interception,market_value,titles,injuries
Lewis Cook,27,England,AFC Bournemouth,Midfielder - Central Midfield,175,71,Right,322,5,24185,19,,,59,2,1074,40.0,80.88,22.64,358,42.86,33,19,12.0,3,11
Lewis Dunk,33,England,Brighton & Hove Albion,Defender - Centre Back,192,88,Right,470,31,40793,,514,150,107,10,,0.0,91.28,0.0,,0.0,3,7,12.0,1,32
Lewis Hall,20,England,Newcastle United,Defender - Left Back,179,72,,127,18,8490,,136,29,20,0,,,84.58,28.95,876,50.0,17,11,22.0,4,3
Liam Delap,,England,Hull City,Midfielder,,,,8,4,474,1,,,2,0,,,,,,,,,,6,1
Lloyd Kelly,26,England,Newcastle United,Defender - Centre Back,190,70,Left,205,5,15899,,202,68,26,0,,0.0,78.31,100.0,297,66.67,2,1,18.0,0,13
Lukas Nmecha,25,England,Wolfsburg,Forward,,,,242,91,14502,15,,,28,0,,0.0,25.0,,,100.0,0,0,5.0,7,9
Marc Guehi,24,England,Crystal Palace,Defender - Centre Back,182,82,Right,303,15,26300,,318,99,33,0,64,80.0,86.01,0.0,,100.0,12,10,45.0,7,8
Marcus Harness,28,England,Derby County,Midfielder - Right Wing,182,70,Right,337,53,19841,38,,,37,1,,,62.5,,,0.0,1,0,0.8,1,0
Marcus Rashford,27,England,Manchester United,Forward - Left Wing,185,70,Right,464,151,30235,61,,,37,2,416,85.71,76.17,35.0,831,28.12,5,4,60.0,6,38
Marcus Tavernier,25,England,AFC Bournemouth,Midfielder - Left Midfield,178,71,,270,43,19332,32,,,31,2,896,44.44,80.3,25.0,448,47.37,19,3,20.0,0,8
Mason Greenwood,23,England,Olympique Marseille,Midfielder - Right Wing,181,76,Right,228,95,15211,27,,,14,1,127,64.0,83.04,34.04,1016,47.62,11,3,35.0,0,17
Mason Holgate,28,England,West Bromwich Albion,Defender - Centre Back,187,63,Right,229,9,18107,,271,68,53,6,,,,,,0.0,0,0,5.0,3,18
Mason Mount,25,England,Manchester United,Midfielder - Attacking Midfield,181,76,Right,375,70,26129,57,,,38,0,,100.0,76.92,25.0,,0.0,5,0,35.0,8,17
Max Kilman,27,England,West Ham United,Defender - Centre Back,194,,,226,7,18893,,246,61,31,0,,0.0,86.27,,1080,100.0,9,14,38.0,3,3
Mikey Moore,17,England,Tottenham Hotspur,Midfielder,,,,17,0,470,0,,,0,0,,,,,,,,,1.0,,0
Morgan Rogers,22,England,Aston Villa,Forward - Left Wing,187,82,,205,44,13204,30,,,23,0,328,46.67,74.8,0.0,493,48.57,8,3,22.0,2,3
Nathan Tella,25,England,Bayer Leverkusen,Forward - Right Wing,173,77,,200,42,10572,21,,,20,1,,100.0,75.86,0.0,,0.0,1,0,23.0,0,8
Nathaniel Clyne,33,England,Crystal Palace,Defender - Right Back,175,67,Right,456,8,38050,,479,144,45,0,,0.0,73.45,0.0,,0.0,10,3,1.5,3,20
Nick Pope,32,England,Newcastle United,Goalkeeper - Goalkeeper,198,76,Right,292,0,25914,,308,98,17,1,,,60.45,,,0.0,0,1,16.0,0,10
Noni Madueke,22,England,Chelsea,Forward - Right Wing,182,75,Left,162,38,8241,18,,,8,0,212,48.0,82.93,31.25,,51.72,12,2,35.0,1,14
Oladapo Afolayan,27,England,St. Pauli,Forward - Left Wing,180,73,Right,270,64,18190,22,,,38,1,349,58.33,76.92,25.0,,48.48,9,5,3.0,2,0
Oliver Skipp,24,England,Leicester City,Midfielder - Defensive Midfield,175,70,Right,244,3,16190,12,,,43,1,,100.0,89.1,,,50.0,4,4,18.0,3,8
Ollie Watkins,28,England,Aston Villa,Forward - Striker,180,70,Right,439,165,34641,55,,,50,1,156,54.17,76.15,0.0,469,14.29,3,2,65.0,1,11
Phil Foden,24,England,Manchester City,Forward - Left Wing,171,70,Left,365,115,23677,78,,,14,1,,11.11,88.17,43.75,550,50.0,1,4,150.0,19,21
Pierre Ekwah,22,England,Saint-Étienne,Defender - Center Back,189,84,,137,18,9440,,149,34,12,1,,,,,,,,,3.0,,0
Raheem Sterling,29,England,Arsenal,Forward - Left Wing,170,69,Both,625,197,44609,119,,,72,1,,0.0,81.08,0.0,130,80.0,0,0,35.0,14,24
Reiss Nelson,24,England,Fulham,Forward - Right Wing,175,71,Right,233,51,11558,29,,,17,0,355,66.67,89.8,40.0,355,60.0,4,0,15.0,5,16
Rico Lewis,20,England,Manchester City,Defender - Right Back,169,65,,116,8,8117,,94,40,11,1,,0.0,90.87,0.0,424,42.86,16,7,40.0,13,0
Roman Quintyne,,England,Everton,Defender,,,,21,0,1161,,27,2,3,0,,,,,,,,,,,0
Ruben Loftus Cheek,28,England,AC Milan,Midfielder - Central Midfield,191,88,Right,289,26,16761,22,,,21,0,,50.0,89.59,20.0,,62.5,10,1,25.0,9,28
Ryan Trevitt,21,England,Brentford,Midfielder,173,67,,28,5,2063,1,,,3,0,,,,,,,,,0.275,,0
Sam Johnstone,31,England,Wolverhampton Wanderers,Goalkeeper - Goalkeeper,193,85,Right,368,0,33054,,403,118,23,1,,,61.83,,,0.0,0,0,10.0,3,12
Samuel Amo Ameyaw,18,England,Southampton,Forward,177,72,,27,5,1621,0,,,2,0,,,,,,,,,0.3,,0
Samuel Iling,21,England,Bologna,Midfielder - Left Wing,182,,,107,18,5753,7,,,8,0,90,33.33,80.0,12.5,,42.86,2,2,13.0,2,1
Sean Longstaff,27,England,Newcastle United,Midfielder - Central Midfield,187,65,Right,283,34,20898,21,,,28,1,,0.0,85.15,0.0,,50.0,23,5,25.0,0,8
Sorba Thomas,25,England,Nantes,Forward - Right Wing,185,80,,258,16,17967,35,,,46,1,621,25.0,72.43,32.81,,43.75,9,2,4.0,0,4
Stephy Mavididi,26,England,Leicester City,Forward - Left Wing,182,71,,277,64,17370,14,,,21,1,317,28.57,79.46,20.0,,36.36,13,1,11.0,2,10
Tammy Abraham,27,England,AC Milan,Forward - Centre Forward,190,80,Right,377,148,24314,32,,,26,0,189,75.0,69.35,0.0,378,16.67,4,2,25.0,6,12
Taylor Harwood Bellis,22,England,Southampton,Defender - Centre Back,185,80,,238,15,19056,,242,67,31,1,56,50.0,89.6,0.0,,100.0,7,8,22.0,8,0
Thomas Doyle,23,England,Wolverhampton Wanderers,Midfielder - Central Midfield,172,67,,194,20,12253,29,,,17,0,,25.0,85.96,0.0,260,100.0,3,2,10.0,9,1
Toby Collier,,England,Manchester United U21,Midfielder,,,,23,0,1390,1,,,4,0,,,,,,,,,,0,2
Tosin Adarabioyo,27,England,Chelsea,Defender - Centre Back,196,80,Right,270,10,22410,,292,72,23,1,,,91.72,,,100.0,2,1,20.0,4,3
Trent Alexander Arnold,26,England,Liverpool,Defender - Right Back,180,69,Right,364,24,28790,,287,155,44,0,,28.57,72.63,31.25,871,25.0,31,8,70.0,9,24
Trevoh Chalobah,25,England,Crystal Palace,Defender - Centre Back,192,75,Right,264,12,20334,,296,62,42,2,67,50.0,77.58,25.0,,66.67,9,12,13.0,8,13
Tyler Obling,18,England,Southampton,Midfielder,166,61,,36,5,1969,3,,,6,0,660,,,,,,,,,,0
Tyrick Mitchell,25,England,Crystal Palace,Defender - Left Back,175,75,,161,3,13494,,186,42,16,1,,50.0,74.93,17.78,1033,28.57,32,5,25.0,0,14
Will Hughes,29,England,Crystal Palace,Midfielder - Central Midfield,185,74,Left,402,22,27329,22,,,76,0,,33.33,82.3,10.53,,0.0,17,3,9.0,0,27
William Smallbone,24,England,Southampton,Midfielder - Central Midfield,173,68,,219,26,16121,24,,,16,0,,100.0,84.0,10.53,,100.0,7,0,5.0,0,10
Saul Coco,25,Equatorial Guinea,Torino,Defender - Centre Back,,,,155,7,12165,,126,55,34,1,68,80.0,88.21,,,80.0,11,11,14.0,0,6
Karl Hein,22,Estonia,Real Valladolid,Goalkeeper - Goalkeeper,193,80,Right,93,0,8242,,151,17,3,1,,,69.96,,,0.0,0,0,3.0,1,1
Karol Mets,31,Estonia,St. Pauli,Defender - Centre Back,191,91,Left,414,7,34923,,473,126,76,2,,0.0,83.63,33.33,,0.0,13,12,1.3,5,4
Glen Kamara,29,Finland,Rennes,Midfielder - Defensive Midfield,178,74,Right,370,10,27600,19,,,42,2,,0.0,90.25,,629,55.56,21,7,6.0,7,0
Jesse Joronen,31,Finland,Venezia,Goalkeeper - Goalkeeper,197,89,Right,283,1,25302,,345,71,20,1,,,70.35,,,0.0,0,0,1.0,1,0
Joel Pohjanpalo,30,Finland,Venezia,Forward - Centre Forward,186,83,Right,305,115,18121,16,,,14,0,227,71.43,65.03,0.0,,75.0,2,3,5.5,3,8
Malick Thiaw,23,Finland,AC Milan,Midfielder - Centre Back,191,86,Both,174,12,13569,1,,,33,3,,100.0,94.88,50.0,,0.0,7,5,20.0,3,6
Naatan Skytta,22,Finland,Dunkerque,Midfielder - Attacking Midfield,170,58,,108,23,5402,6,,,5,0,,,100.0,,,0.0,0,0,0.5,1,4
Abdoulaye Toure,30,France,Le Havre,Midfielder - Defensive Midfield,187,77,Right,303,21,21857,7,,,29,2,300,41.67,82.07,50.0,900,62.5,24,15,3.0,0,11
Adrien Tameze,30,France,Torino,Midfielder - Defensive Midfield,180,78,Right,308,8,21247,10,,,44,1,,0.0,86.43,25.0,,16.67,2,6,5.0,0,9
Adrien Thomasson,30,France,Lens,Midfielder - Attacking Midfield,177,70,Right,383,58,26904,39,,,60,5,948,55.56,83.86,33.33,948,35.0,27,8,5.0,1,16
Aimen Moueffek,23,France,Saint-Étienne,Midfielder - Central Midfield,179,72,,115,5,5523,3,,,9,0,,50.0,88.75,0.0,,28.57,8,2,3.0,0,7
Alassane Plea,31,France,Borussia M'gladbach,Forward - Left Wing,181,72,Right,380,109,26683,63,,,39,3,236,60.0,75.4,25.0,707,45.0,3,1,7.0,2,28
Alexandre Lacazette,33,France,Olympique Lyonnais,Forward - Centre Forward,176,73,Right,569,254,40141,75,,,67,4,396,69.23,71.82,28.57,396,35.71,3,1,9.0,7,31
Alexis Claude Maurice,26,France,Augsburg,Midfielder - Attacking Midfield,175,62,,234,49,13892,18,,,17,0,126,55.56,82.93,50.0,378,43.75,8,5,3.5,0,14
Alphonse Areola,31,France,West Ham United,Goalkeeper - Goalkeeper,195,94,Right,349,0,30761,,347,128,7,0,,,69.2,,,0.0,1,0,10.0,16,12
Amine Adli,24,France,Bayer Leverkusen,Forward - Left Wing,174,60,,184,30,9944,27,,,29,4,,0.0,83.65,18.18,,50.0,7,0,30.0,0,11
Amine Harit,27,France,Olympique Marseille,Midfielder - Attacking Midfield,180,67,Right,277,26,17907,33,,,32,2,240,60.0,86.57,16.67,160,57.14,7,3,15.0,1,22
Amir Richardson,22,France,Fiorentina,Midfielder - Central Midfield,195,,,124,8,7592,6,,,23,1,,50.0,91.7,0.0,,83.33,10,1,9.0,0,2
Andy Diouf,21,France,Lens,Midfielder,175,62,,119,5,7365,5,,,11,0,902,20.0,77.46,11.11,902,62.5,16,6,9.0,0,2
Andy Pelmard,24,France,Lecce,Defender - Center Back,175,,,200,0,16069,,230,42,22,0,,,77.78,,,100.0,6,0,3.0,0,1
Angelo Fulgini,28,France,Lens,Midfielder - Attacking Midfield,183,71,,326,37,20995,22,,,39,3,363,50.0,78.68,46.67,,31.58,3,0,7.0,0,13
Anthony Caci,27,France,Mainz 05,Defender - Left Back,184,70,,195,6,14644,,210,53,23,0,,62.5,77.39,30.23,455,46.15,17,7,7.0,2,11
Anthony Rouault,23,France,Stuttgart,Defender - Centre Back,186,,,126,8,9644,,127,40,17,3,,0.0,89.9,,,100.0,6,7,10.0,0,5
Antoine Griezmann,33,France,Atlético Madrid,Forward - Secondary Striker,176,73,Left,780,295,59240,128,,,96,2,261,45.45,77.64,20.34,261,53.85,11,4,25.0,12,16
Antoine Hainaut,22,France,Parma,Midfielder,,,,28,1,947,0,,,7,2,454,,,,,,,,0.75,,0
Antoine Joujou,21,France,Le Havre,Midfielder,,,,73,6,3009,4,,,2,0,,33.33,53.85,25.0,,53.85,6,3,2.5,0,4
Arnaud Kalimuendo,22,France,Rennes,Forward - Centre Forward,175,63,Right,188,62,11315,10,,,9,1,275,63.64,79.86,16.67,,28.57,3,1,20.0,3,12
Arthur Atta,21,France,Udinese,Forward,,,,66,7,3108,3,,,3,0,,,78.95,0.0,,0.0,3,0,1.0,0,3
Arthur Desmas,30,France,Le Havre,Goalkeeper - Goalkeeper,196,87,,195,0,17457,,178,74,10,1,,,73.66,,,0.0,0,0,2.5,1,4
Axel Camblan,21,France,Brest,Forward,168,60,,19,1,209,0,,,3,1,,,,,,,,,,,0
Axel Gueguin,19,France,Montpellier,Forward,,,,30,4,1434,0,,,2,0,,,100.0,100.0,,0.0,1,0,0.7,0,0
Ayyoub Bouaddi,17,France,Lille,Midfielder,,,,32,0,1474,2,,,7,1,,,89.74,,396,40.0,13,4,10.0,0,4
Badredine Bouanani,19,France,Nice,Forward,,,,71,7,3211,5,,,2,0,,62.5,81.37,22.22,,42.86,1,2,5.0,0,1
Bafode Diakite,24,France,Lille,Defender - Right Back,185,,,169,18,13484,,166,52,25,2,135,60.0,92.74,0.0,1080,100.0,12,10,18.0,0,8
Baptiste Santamaria,29,France,Rennes,Midfielder - Defensive Midfield,183,73,Right,399,21,30001,9,,,39,0,,25.0,83.73,0.0,478,25.0,12,9,10.0,1,6
Benjamin Andre,34,France,Lille,Midfielder - Defensive Midfield,180,76,Right,495,27,40271,26,,,130,5,,33.33,84.55,0.0,893,42.86,23,12,8.0,3,46
Benjamin Lecomte,33,France,Montpellier,Goalkeeper - Goalkeeper,186,78,Right,372,1,33096,,437,105,12,2,,,62.5,,,0.0,0,0,3.5,0,9
Benjamin Pavard,28,France,Inter Milan,Defender - Right Back,186,76,Right,376,17,30121,,353,138,60,2,,0.0,92.35,28.57,762,0.0,16,9,45.0,13,19
Benoit Badiashile,23,France,Chelsea,Defender - Centre Back,194,75,Right,208,9,17134,,221,62,29,0,,,97.73,,,0.0,1,1,30.0,2,15
Boubacar Kamara,25,France,Aston Villa U21,Midfielder - Center Back,184,68,Right,275,5,21833,9,,,62,4,,,88.0,,,0.0,2,1,38.0,1,23
Boubakary Soumare,25,France,Leicester City,Midfielder - Defensive Midfield,188,70,Right,242,2,14353,7,,,45,3,,,87.37,,,50.0,3,2,14.0,1,13
Bradley Barcola,22,France,PSG,Forward - Centre Forward,186,76,,144,31,8261,26,,,12,1,83,54.55,83.67,30.0,416,33.33,12,6,65.0,0,6
Brendan Chardonnet,29,France,Brest,Defender - Centre Back,184,74,Right,244,11,19660,,258,70,43,4,,0.0,81.84,0.0,,0.0,15,11,8.0,0,13
Brice Samba,30,France,Lens,Goalkeeper - Goalkeeper,187,79,Right,280,0,25101,,263,95,28,1,,,78.31,,,0.0,0,0,15.0,1,1
Cedric Kipre,27,France,Reims,Defender - Center Back,190,77,,256,10,21684,,285,76,65,5,,50.0,88.52,,611,100.0,14,2,,1,2
Chimuanya Ugochukwu,20,France,Southampton,Midfielder - Defensive Midfield,190,72,,87,1,3700,1,,,13,1,,0.0,83.1,0.0,,50.0,4,2,25.0,0,6
Christian Mawissa,19,France,Monaco,Defender,,,,59,3,4289,,51,16,12,1,,,81.6,0.0,,45.45,13,12,12.0,0,3
Christopher Nkunku,27,France,Chelsea,Midfielder - Secondary Striker,177,68,Right,347,114,21489,49,,,28,0,164,60.0,94.12,50.0,,50.0,3,1,65.0,18,11
Christopher Operi,27,France,Le Havre,Forward - Left Back,182,,,175,8,14794,13,,,34,3,,33.33,77.42,26.14,450,47.37,10,11,4.0,1,7
Clement Lenglet,29,France,Atlético Madrid,Defender - Centre Back,186,81,Left,395,15,31168,,369,143,90,6,,0.0,85.79,,,100.0,2,7,5.0,9,21
Dan Axel Zagadou,25,France,Stuttgart,Defender - Centre Back,196,90,Left,163,7,10933,,155,55,23,1,,,100.0,,,0.0,0,1,10.0,2,15
Dango Ouattara,22,France,AFC Bournemouth,Midfielder,179,79,,104,10,5581,13,,,11,1,438,,,,438,,,,20.0,,0
Dayot Upamecano,26,France,Bayern München,Defender - Centre Back,186,83,,340,12,27306,,333,113,73,7,164,40.0,93.62,33.33,,50.0,17,15,45.0,8,21
Dehmaine Assoumani,19,France,Nantes,Midfielder,,,,42,2,2105,2,,,5,0,,50.0,91.67,75.0,,50.0,3,0,0.05,0,0
Desire Doue,19,France,PSG,Midfielder,,,,98,10,4593,9,,,12,0,,53.85,87.92,35.71,382,44.83,4,0,40.0,0,12
Dilane Bakwa,22,France,Strasbourg,Forward - Left Wing,179,77,,118,14,7668,19,,,13,1,524,55.56,80.39,34.69,349,35.0,12,3,10.0,0,8
Dimitry Bertaud,26,France,Montpellier,Goalkeeper - Goalkeeper,180,80,Right,77,0,6541,,103,19,5,1,,,63.64,,,0.0,0,0,1.2,0,5
Dylan Batubinsika,28,France,Saint-Étienne,Defender - Center Back,184,84,Right,216,9,17498,,244,69,31,2,,50.0,89.38,,,80.0,14,24,2.0,1,1
Eduardo Camavinga,22,France,Real Madrid,Midfielder - Central Midfield,182,77,,257,5,15181,13,,,59,1,,0.0,86.96,,390,50.0,10,4,100.0,11,12
Eliesse Ben Seghir,19,France,Monaco,Midfielder,,,,73,15,3860,8,,,7,1,194,64.71,80.21,20.0,259,32.43,17,4,18.0,0,8
Elisha Owusu,27,France,Auxerre,Midfielder - Defensive Midfield,179,62,Right,267,4,19384,3,,,46,2,865,50.0,81.37,40.0,865,55.56,34,14,3.0,1,4
Ellyes Skhiri,29,France,Eintracht Frankfurt,Midfielder - Defensive Midfield,185,69,Right,370,40,30849,18,,,47,0,,0.0,86.93,,674,50.0,10,7,11.0,0,12
Elye Wahi,21,France,Olympique Marseille,Forward,184,74,,156,51,8855,13,,,25,3,254,75.0,80.85,0.0,507,22.22,0,1,30.0,0,13
Emmanuel Junior Biumla Bayiha,19,France,Angers SCO,Midfielder,,,,20,2,1415,0,,,2,0,732,,,,,,,,,,0
Enzo Loiodice,23,France,UD Las Palmas,Midfielder - Central Midfield,176,60,Left,158,7,9989,5,,,30,3,,0.0,83.24,37.5,,0.0,1,2,4.0,0,11
Enzo Sternal,17,France,Olympique Marseille,Forward,,,Right,2,0,22,0,,,1,0,,,,,,,,,1.5,,0
Enzo Tchato,22,France,Montpellier,Defender - Centre Back,182,,,65,0,4071,,70,10,5,0,,0.0,81.6,30.77,,0.0,15,7,,0,4
Esteban Lepaul,24,France,Angers SCO,Forward,177,67,Right,109,31,6286,4,,,8,0,145,66.67,77.42,0.0,,0.0,1,1,0.8,0,0
Ethan Mbappe,17,France,Lille,Midfielder,176,,Left,21,0,999,2,,,4,0,,100.0,83.33,,,25.0,1,0,2.0,0,3
Etienne Youte Kinkoue,22,France,Le Havre,Defender - Center Back,195,,,45,1,3691,,48,13,6,1,,0.0,88.73,,,100.0,5,9,7.0,0,3
Evann Guessand,23,France,Nice,Forward - Centre Forward,187,79,,179,32,8870,9,,,9,0,171,70.59,76.97,30.0,514,50.0,10,6,12.0,0,4
Fares Chaibi,21,France,Eintracht Frankfurt,Forward,,,,118,15,7977,17,,,10,0,,20.0,75.61,20.0,,66.67,7,4,,0,3
Felix Lemarechal,21,France,Strasbourg,Midfielder - Central Midfield,180,60,,75,4,4611,7,,,9,0,,,82.98,0.0,206,40.0,3,1,5.0,0,3
Ferland Mendy,29,France,Real Madrid,Defender - Left Back,180,73,,321,10,25068,,261,120,50,2,,,93.66,0.0,,0.0,13,8,22.0,12,27
Florent Hanin,34,France,Angers SCO,Defender - Left Back,177,73,Left,346,5,28436,,353,101,36,1,,0.0,79.31,25.81,755,50.0,23,13,0.35,0,0
Florian Aye,27,France,Auxerre,Forward - Centre Forward,184,79,Right,294,80,18333,15,,,11,1,,66.67,80.95,0.0,,100.0,1,2,1.8,1,0
Florian Lejeune,33,France,Rayo Vallecano,Defender - Centre Back,190,89,Right,380,21,31841,,422,109,106,12,,36.36,82.23,,1166,100.0,18,7,3.0,0,34
Florian Tardieu,32,France,Saint-Étienne,Midfielder - Central Midfield,184,72,,377,25,30771,15,,,80,2,,0.0,81.36,0.0,,0.0,1,3,1.0,1,6
Florian Thauvin,31,France,Udinese,Midfielder - Right Wing,179,70,Right,426,115,28335,68,,,49,5,230,66.67,76.76,23.91,345,50.0,7,3,5.0,3,17
Frank Magri,25,France,Toulouse,Forward - Centre Forward,178,75,,133,34,8094,7,,,31,4,,42.86,71.67,0.0,,20.0,1,1,3.0,0,5
Frederic Guilbert,29,France,Lecce,Defender - Right Back,178,70,Right,343,9,28529,,418,93,67,5,,0.0,78.3,36.36,,57.14,18,11,3.0,1,24
Gaby Jean,24,France,Annecy,Defender,191,75,,86,2,7279,,99,25,5,0,,,,,,,,,1.0,,0
Gaetan Perrin,28,France,Auxerre,Midfielder - Right Midfield,169,63,Right,298,48,17133,21,,,13,0,171,66.67,82.95,32.56,171,40.74,25,4,3.0,0,0
Gautier Larsonneur,27,France,Saint-Étienne,Goalkeeper - Goalkeeper,181,70,Right,227,0,20398,,252,77,16,0,,,60.33,,,0.0,0,0,4.0,0,1
Geoffrey Kondogbia,31,France,Olympique Marseille,Midfielder - Defensive Midfield,188,80,Left,419,17,28261,18,,,93,6,,0.0,92.91,,,80.0,20,9,9.0,3,41
Georginio Rutter,22,France,Brighton & Hove Albion,Forward - Centre Forward,182,,,174,33,10716,27,,,16,0,336,35.71,76.76,0.0,336,33.33,12,4,28.0,0,5
Gregoire Coudert,25,France,Brest,Goalkeeper - Goalkeeper,188,80,,26,0,2230,,28,8,1,0,,,67.14,,,0.0,0,0,0.4,0,0
Guemissongui Ouattara,19,France,Strasbourg,Midfielder,,,,2,0,20,0,,,0,0,,,,,,,,,,,0
Hamza Rafia,25,France,Lecce,Midfielder - Attacking Midfield,178,,Right,176,15,9399,8,,,26,1,,40.0,86.55,34.78,,55.56,18,4,1.7,3,0
Himad Abdelli,25,France,Angers SCO,Midfielder - Attacking Midfield,185,,,189,25,12366,12,,,24,2,325,46.15,84.35,4.0,974,43.64,18,10,4.0,0,4
Hugo Ekitike,22,France,Eintracht Frankfurt,Forward,189,75,,117,35,6136,14,,,11,2,136,56.25,77.65,50.0,341,45.24,5,3,30.0,0,10
Ibrahim Mbaye,16,France,PSG,Forward,,,,11,0,426,3,,,1,1,,,,,,,,,2.0,,0
Ibrahima Konate,25,France,Liverpool,Defender - Centre Back,194,93,Right,236,10,18355,,211,79,46,1,122,33.33,90.88,,975,100.0,14,5,45.0,4,27
Ibrahima Sissoko,27,France,Bochum,Midfielder - Defensive Midfield,193,88,Right,240,7,16392,14,,,53,2,,25.0,80.42,37.5,,83.33,20,10,6.0,1,21
Iliman Ndiaye,24,France,Everton,Midfielder - Centre Forward,180,75,,167,31,10710,22,,,13,1,449,63.64,81.28,54.55,,41.67,20,12,15.0,0,3
Ismael Doukoure,21,France,Strasbourg,Defender,183,,,103,2,7502,,121,20,21,0,,,85.98,100.0,884,75.0,16,7,10.0,0,8
Issa Diop,27,France,Fulham,Defender - Centre Back,194,92,Right,279,16,23539,,320,81,55,3,,33.33,85.89,,,100.0,8,1,20.0,1,23
Jean Clair Todibo,24,France,West Ham United,Defender - Centre Back,190,81,,174,3,14236,,167,57,34,5,,0.0,90.22,0.0,,62.5,11,4,35.0,3,13
Jean Matteo Bahoya,19,France,Eintracht Frankfurt,Forward,180,,,52,6,1606,3,,,4,0,,,,,125,,,,7.5,,0
Jean Philippe Mateta,27,France,Crystal Palace,Forward - Centre Forward,192,84,Right,286,110,18001,12,,,28,2,282,50.0,70.43,0.0,845,0.0,2,0,20.0,0,4
Jeanuel Belocian,19,France,Bayer Leverkusen,Defender,,,,51,0,3280,,50,13,7,1,,,90.0,,,100.0,1,0,20.0,0,2
Jeremy Le Douaron,26,France,Palermo,Forward - Centre Forward,189,77,,178,31,9031,8,,,6,0,,50.0,78.57,,,0.0,1,0,4.0,0,8
Jerome Roussillon,31,France,Union Berlin,Defender - Left Back,172,77,Left,341,14,25159,,335,97,38,0,,,33.33,,,0.0,0,0,,0,35
Jim Allevinah,29,France,Angers SCO,Midfielder - Right Midfield,172,69,,193,24,12074,14,,,16,1,,25.0,78.83,9.09,264,10.0,5,3,2.0,0,10
Jonas Martin,34,France,Brest,Midfielder - Defensive Midfield,184,77,Right,318,18,19953,13,,,60,0,456,50.0,88.39,66.67,,66.67,11,6,1.0,1,34
Jonathan Bamba,28,France,Celta de Vigo,Forward - Left Wing,175,72,Right,366,53,27029,40,,,26,0,,66.67,84.1,37.5,,47.83,9,3,6.0,2,10
Jonathan Gradit,32,France,Lens,Defender - Centre Back,180,75,,330,3,28177,,364,83,67,5,,28.57,82.22,40.0,,33.33,17,12,4.5,0,23
Jonathan Ikone,26,France,Fiorentina,Midfielder - Right Wing,,,,367,47,21585,40,,,35,1,,100.0,82.0,0.0,,44.44,3,0,10.0,4,11
Jordan Ferri,32,France,Montpellier,Midfielder - Central Midfield,173,70,Right,407,18,26923,30,,,82,4,,66.67,90.13,28.57,,0.0,15,3,4.5,2,31
Jordan Lefort,31,France,Angers SCO,Defender - Left Back,184,81,Left,299,4,22901,,318,89,33,2,,,81.82,50.0,990,40.0,19,14,1.0,3,2
Jordan Veretout,31,France,Olympique Lyonnais,Midfielder - Defensive Midfield,177,67,Right,488,59,37226,49,,,87,3,,50.0,84.48,26.67,,75.0,8,1,8.0,3,7
Joris Chotard,23,France,Montpellier,Midfielder - Defensive Midfield,179,68,,186,2,12968,11,,,28,1,,,89.44,0.0,,42.86,7,3,10.0,0,11
Joseph Ben Viadere,19,France,Auxerre,Forward,,,,3,1,153,0,,,0,0,,,,,,,,,,,0
Jules Kounde,26,France,FC Barcelona,Defender - Centre Back,180,70,Right,350,18,29513,,293,146,41,4,85,50.0,87.48,22.73,555,50.0,26,5,55.0,6,17
Julien Le Cardinal,27,France,Brest,Defender,184,,,131,6,9691,,93,49,18,0,,57.14,86.61,0.0,,100.0,12,21,1.5,1,4
Junior Mwanga,21,France,Strasbourg,Defender,184,72,,92,7,6613,,83,29,9,1,,,89.62,,,33.33,11,3,7.0,0,3
Junior Sambia,28,France,Empoli,Midfielder - Right Back,185,77,Right,283,13,16075,18,,,39,2,,,100.0,0.0,,0.0,1,0,2.0,0,6
Justin Smith,21,France,RCD Espanyol,Midfielder - Defensive Midfield,188,79,,56,0,4026,0,,,9,0,,,40.0,,,0.0,0,1,0.3,0,0
Kelvin Amian Adou,26,France,Nantes,Defender - Right Back,180,78,Right,267,7,22382,,333,76,45,4,,33.33,84.83,27.27,,33.33,25,2,2.5,0,9
Kenny Lala,33,France,Brest,Defender - Right Back,178,78,Right,382,20,31676,,379,123,50,4,49,100.0,82.11,17.95,885,75.0,28,12,3.0,3,18
Kevin Danois,20,France,Auxerre,Forward,,,,23,2,757,0,,,0,0,,,,,,,,,0.5,,0
Khalil Fayad,20,France,Montpellier,Midfielder,172,61,,70,4,3424,2,,,7,1,,66.67,87.05,0.0,,20.0,14,1,5.0,0,12
Kiliann Sildillia,22,France,Freiburg,Defender - Right Back,186,76,Right,150,10,10754,,137,50,30,3,,,84.0,50.0,,0.0,1,0,15.0,0,7
Kingsley Coman,28,France,Bayern München,Forward - Left Wing,181,75,Right,402,73,23385,61,,,20,2,192,60.0,89.3,25.0,288,50.0,9,5,40.0,28,27
Kouadio Kone,23,France,Roma,Midfielder - Central Midfield,185,,,172,13,12533,2,,,50,2,625,50.0,90.57,,,55.56,11,4,20.0,0,18
Kylian Mbappe,25,France,Real Madrid,Forward - Centre Forward,178,73,,439,322,33640,113,,,53,2,147,67.74,85.86,14.29,1026,48.33,2,0,180.0,21,33
